% Model,verification_2d_nozzle_tapered.mph
% Version,COMSOL 5.4.0.388
% Date,"Oct 8 2021, 14:24"
% Dimension,2
% Nodes,13231
% Expressions,1
% Description,"Current density, phi component"
% Length unit,m
% R,Z,mef.Jphi (A/m^2) @ freq=2E6
2.9E-4,0.00251,-1.6894899649272393E7-1.53076957226623E7i
3.0000000000000003E-4,0.00251,-1.7433093557541374E7-1.5694188458947293E7i
3.1E-4,0.00251,-1.7968599298630737E7-1.6095542713045146E7i
3.2E-4,0.00251,-1.850137134466154E7-1.6511725301580288E7i
3.3E-4,0.00251,-1.9034280421839535E7-1.6939345991497017E7i
3.4E-4,0.00251,-1.956883302208427E7-1.737602762873801E7i
3.5000000000000005E-4,0.00251,-2.0105008652575776E7-1.7821761144219413E7i
3.6E-4,0.00251,-2.0644383478904974E7-1.8274342818131488E7i
3.7E-4,0.00251,-2.1188033488772694E7-1.8732281147268604E7i
3.8E-4,0.00251,-2.173594222340582E7-1.9195586051160708E7i
3.9000000000000005E-4,0.00251,-2.228896723825424E7-1.9663222311118435E7i
4.0E-4,0.00251,-2.284848338101736E7-2.0134373269346483E7i
4.1E-4,0.00251,-2.3414495279139657E7-2.0609087276063584E7i
4.2E-4,0.00251,-2.3987433688975632E7-2.108707124351305E7i
4.3000000000000004E-4,0.00251,-2.4569343560470857E7-2.1568586693534955E7i
4.4000000000000007E-4,0.00251,-2.5160452728996474E7-2.2053854264323954E7i
4.5E-4,0.00251,-2.5760824824967664E7-2.254276802842033E7i
4.6E-4,0.00251,-2.637299575607273E7-2.3036896694348846E7i
4.7000000000000004E-4,0.00251,-2.6998082601619087E7-2.3537526005310588E7i
4.8000000000000007E-4,0.00251,-2.7636065409024745E7-2.4044694639638558E7i
4.9E-4,0.00251,-2.8288486927691326E7-2.45595160417167E7i
5.0E-4,0.00251,-2.895861206992416E7-2.5087113517429207E7i
5.1E-4,0.00251,-2.964651006928507E7-2.562783807541257E7i
5.200000000000001E-4,0.00251,-3.0352420795692466E7-2.6181544715946585E7i
5.300000000000001E-4,0.00251,-3.1080283712228652E7-2.6756007771230284E7i
5.4E-4,0.00251,-3.1831355358004835E7-2.7356332642963268E7i
5.5E-4,0.00251,-3.2605586935349427E7-2.7982571846329227E7i
5.600000000000001E-4,0.00251,-3.3404515235046048E7-2.8636473257201895E7i
5.700000000000001E-4,0.00251,-3.4230641139498286E7-2.9335519444464684E7i
5.8E-4,0.00251,-3.508361057253349E7-3.0083140103900462E7i
5.9E-4,0.00251,-3.5963360840379E7-3.0879381165277097E7i
6.000000000000001E-4,0.00251,-3.6872238305618994E7-3.1732060856893655E7i
6.100000000000001E-4,0.00251,-3.7804851821280405E7-3.2669750893322032E7i
6.2E-4,0.00251,-3.876021176886458E7-3.3694272175378785E7i
6.3E-4,0.00251,-3.973825791840839E7-3.480565094610881E7i
6.4E-4,0.00251,-4.0738117262458906E7-3.60228789073169E7i
6.500000000000001E-4,0.00251,-4.173616459971955E7-3.738719095911678E7i
6.6E-4,0.00251,-4.273143286776688E7-3.88993846206506E7i
6.7E-4,0.00251,-4.3723905549662076E7-4.055946241548658E7i
6.8E-4,0.00251,-4.4698176053659774E7-4.240503586880079E7i
6.900000000000001E-4,0.00251,-4.559219408881418E7-4.4490984755227774E7i
7.0E-4,0.00251,-4.640587884270109E7-4.681738768635151E7i
7.1E-4,0.00251,-4.714683052969372E7-4.938283839329905E7i
7.2E-4,0.00251,-4.772006845031221E7-5.2269299885859475E7i
7.300000000000001E-4,0.00251,-4.798540963824524E7-5.5550906267779656E7i
7.4E-4,0.00251,-4.7943341836066335E7-5.922767903060177E7i
7.5E-4,0.00251,-4.746851691871699E7-6.336962899543858E7i
7.6E-4,0.00251,-4.633431742507346E7-6.809143786380352E7i
7.700000000000001E-4,0.00251,4.876640542335963E-4-3.0009511838713506E-4i
7.8E-4,0.00251,5.214156206217845E-4-2.905719619513596E-4i
7.9E-4,0.00251,5.549158028442031E-4-2.817317351892087E-4i
8.0E-4,0.00251,5.878532975500256E-4-2.7355773312867003E-4i
8.100000000000001E-4,0.00251,6.203942725134401E-4-2.658402634762977E-4i
8.2E-4,0.00251,6.527000964018885E-4-2.584403432990027E-4i
8.3E-4,0.00251,6.844758537175226E-4-2.5147985800416504E-4i
8.4E-4,0.00251,7.157410311117926E-4-2.448907854516129E-4i
8.500000000000001E-4,0.00251,7.464933947688007E-4-2.386697353081966E-4i
8.600000000000001E-4,0.00251,7.767206896922244E-4-2.3274743945982544E-4i
8.7E-4,0.00251,8.064336180048308E-4-2.2710723915525852E-4i
8.8E-4,0.00251,8.356348605106881E-4-2.2174144076585498E-4i
8.900000000000001E-4,0.00251,8.642635071252904E-4-2.1661553240401465E-4i
9.000000000000001E-4,0.00251,8.923120946475144E-4-2.117480109926893E-4i
9.1E-4,0.00251,9.198625862179105E-4-2.0708089639331122E-4i
9.2E-4,0.00251,9.468681294098551E-4-2.0262050393455664E-4i
9.3E-4,0.00251,9.733014159000719E-4-1.9835353331354512E-4i
9.400000000000001E-4,0.00251,9.991928454876967E-4-1.9426081624996955E-4i
9.5E-4,0.00251,0.0010245718482891483-1.903328440292054E-4i
9.6E-4,0.00251,0.0010494171188086417-1.8655770654826164E-4i
9.7E-4,0.00251,0.0010737360092424313-1.829262495045006E-4i
9.800000000000002E-4,0.00251,0.0010975288484439444-1.7943787195569228E-4i
9.9E-4,0.00251,0.0011208098752951902-1.7607516707742095E-4i
0.001,0.00251,0.0011435926729215903-1.7283034092786128E-4i
0.00101,0.00251,0.0011658782977116316-1.6970211866369411E-4i
0.00102,0.00251,0.0011876680565258574-1.6667730402552215E-4i
0.00103,0.00251,0.0012089598376332422-1.6375676840194538E-4i
0.0010400000000000001,0.00251,0.0012297809715874819-1.6093012826861802E-4i
0.0010500000000000002,0.00251,0.001250127167795816-1.5819662279843174E-4i
0.0010600000000000002,0.00251,0.0012700033525864058-1.5554785204171335E-4i
0.0010700000000000002,0.00251,0.0012894110318389226-1.5298280122431093E-4i
0.00108,0.00251,0.0013083662629371144-1.5049439094662074E-4i
0.00109,0.00251,0.0013268755972330297-1.4807917366416312E-4i
0.0011,0.00251,0.0013449420727446517-1.457343125108277E-4i
0.00111,0.00251,0.001362566489177426-1.434592170155038E-4i
0.0011200000000000001,0.00251,0.0013797600401408547-1.4124638513800039E-4i
0.0011300000000000001,0.00251,0.0013965287895082604-1.390956904704682E-4i
0.0011400000000000002,0.00251,0.001412878729501882-1.3700383378951946E-4i
0.0011500000000000002,0.00251,0.00142881464746193-1.349681877092001E-4i
